laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
1,13.3,8,1.37,1339.69,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,2.3,128000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
2,13.3,8,1.34,898.94,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1440,900,1.8,128000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
3,15.6,8,1.86,575.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,256000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
4,15.4,16,1.83,2537.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,2.7,512000.0,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
5,13.3,8,1.37,1803.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,3.1,256000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
6,15.6,4,2.1,400.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,3.0,500000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
7,15.4,16,2.04,2139.97,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,2.2,256000.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
8,13.3,8,1.34,1158.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1440,900,1.8,256000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
9,14.0,16,1.3,1495.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.8,512000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
10,14.0,8,1.6,770.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
11,15.6,4,1.86,393.9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.5,500000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
12,15.6,4,1.86,344.99,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,500000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
13,15.4,16,1.83,2439.97,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,2.8,256000.0,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
14,15.6,4,2.2,498.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
